id,title,author,genre,publication_year,plot
717,Die Odyssee des Zeitreisenden,Benjamin Grau,Science Fiction,1949,A time traveler embarks on an odyssey through time to change the past.
718,Der Wächter der Stille,Sophia Stein,Mystery,1948,A detective solves a murder case with the help of a silent guardian.
719,Die Verlorene Festung,Samuel Braun,Adventure,1947,A group of explorers discovers a lost fortress hidden deep within the mountains.
720,Die Mondsymphonie,Isabella Rose,Romance,1946,A musician and a dancer fall in love during a moonlit performance.
721,Le Château Hanté,Alexandre Sombre,Horror,1945,A family moves into a haunted castle and experiences terrifying events.
722,L'Héritage Oublié,Victoria Rue,Historical Fiction,1944,A historian uncovers a forgotten heritage that changes the course of history.
723,La Clairière Enchantée,Olivia Bleu,Fantasy,1943,A magical clearing comes to life leading a young girl on a thrilling adventure.
724,L'Ère Numérique,Thomas Gris,Science Fiction,1942,A computer programmer creates an AI that takes over the world.
725,La Piste de Disparition,Emma Pierre,Mystery,1941,A detective investigates a series of disappearances that seem to be connected.
726,Le Sanctuaire Caché,Richard Brun,Adventure,1940,A group of explorers discovers a hidden sanctuary filled with ancient treasures.
727,La Caresse Étoilée,Amelia Rose,Romance,1939,A couple finds love while caressing under the stars.
728,La Demeure Maudite,Henri Noir,Horror,1938,A group of friends spends the night in a haunted house and faces their darkest fears.
729,L'Énigme Ancienne,Clara Blanche,Historical Fiction,1937,An ancient enigma is revealed changing the course of history.
730,Le Lac Mystique,Eleanor Verte,Fantasy,1936,A young girl discovers a mystical lake that grants wishes.
731,L'Odyssée du Voyageur du Temps,Benjamin Gris,Science Fiction,1935,A time traveler embarks on an odyssey through time to change the past.
732,Le Sentinelle Silencieuse,Sophia Pierre,Mystery,1934,A detective solves a murder case with the help of a silent sentinel.
733,La Citadelle Perdue,Samuel Brun,Adventure,1933,A group of explorers discovers a lost citadel hidden deep within the desert.
734,La Symphonie Lunaire,Isabella Rose,Romance,1932,A musician and a dancer fall in love during a moonlit performance.
735,Il Palazzo Infestato,Alessandro Oscuro,Horror,1931,A family moves into a haunted palace and experiences terrifying events.
736,L'Eredità Dimenticata,Vittoria Via,Historical Fiction,1930,A historian uncovers a forgotten inheritance that changes the course of history.
737,Il Boschetto Incantato,Olivia Blu,Fantasy,1929,A magical grove comes to life leading a young girl on a thrilling adventure.
738,L'Era Digitale,Tommaso Grigio,Science Fiction,1928,A computer programmer creates an AI that takes over the world.
739,La Traccia di Scomparsa,Emma Pietra,Mystery,1927,A detective investigates a series of disappearances that seem to be connected.
740,Il Santuario Nascosto,Riccardo Bruno,Adventure,1926,A group of explorers discovers a hidden sanctuary filled with ancient treasures.
741,La Carezza Stellata,Amelia Rosa,Romance,1925,A couple finds love while caressing under the stars.
742,La Dimora Maledetta,Enrico Nero,Horror,1924,A group of friends spends the night in a haunted house and faces their darkest fears.
743,L'Enigma Antico,Clara Bianca,Historical Fiction,1923,An ancient enigma is revealed changing the course of history.
744,Il Lago Mistico,Eleonora Verde,Fantasy,1922,A young girl discovers a mystical lake that grants wishes.
745,L'Odissea del Viaggiatore del Tempo,Beniamino Grigio,Science Fiction,1921,A time traveler embarks on an odyssey through time to change the past.
746,The Whispering Woods,Emily Thorne,Fantasy,2020,A young girl discovers a hidden magical forest where she must confront her fears to save her village.
747,Les Échos du Temps,Jean-Pierre Noir,Science Fiction,2019,A scientist invents a time machine and travels back to prevent a global catastrophe.
748,Die Schatten der Vergangenheit,Viktoria Straße,Mystery,2018,A detective unravels a series of murders that seem to be connected to an old unsolved case.
749,Il Regno Perduto,Davide Re,Adventure,2017,A group of explorers search for a legendary kingdom hidden deep within the Amazon rainforest.
750,La Danza delle Stelle,Sara Bianca,Romance,2016,A love story between an astronaut and a scientist who meet during a space mission.
751,La Maison Hantée,Michel Sombre,Horror,2015,A family moves into an old mansion and begins to experience supernatural events.
752,A Cidade Esquecida,Lucia Verde,Historical Fiction,2014,A tale of a city lost to time and the archaeologist who discovers its secrets.
753,El Espejo Encantado,Olivia Azul,Fantasy,2013,A magical mirror that grants wishes leads a young boy on a dangerous adventure.
754,La Frontière Numérique,Thomas Gris,Science Fiction,2012,A hacker uncovers a conspiracy that threatens the digital world.
755,L'Acte de Disparition,Emma Pierre,Mystery,2011,A magician's assistant disappears during a performance leading to a complex investigation.
756,El Tesoro Oculto,Ricardo Marrón,Adventure,2010,A treasure hunter searches for a legendary pirate's hidden fortune.
757,El Sendero Estrellado,Amelia Rosa,Romance,2009,A couple finds love while hiking the Appalachian Trail.
758,La Mansión Maldita,Enrique Negro,Horror,2008,A group of friends spends the night in a haunted mansion and faces their darkest fears.
759,La Profecía Antigua,Clara Blanca,Historical Fiction,2007,An ancient prophecy comes true changing the course of history.
760,El Bosque Místico,Eleonor Verde,Fantasy,2006,A young girl enters a mystical forest and encounters magical creatures.
761,El Dilema del Viajero del Tiempo,Benjamín Gris,Science Fiction,2005,A time traveler must decide whether to change the past or let history unfold.
762,El Testigo Silencioso,Sofía Piedra,Mystery,2004,A detective solves a murder case with the help of a mute witness.
763,La Isla Perdida,Samuel Marrón,Adventure,2003,A group of explorers discovers a lost island filled with ancient ruins.
764,La Serenata Lunar,Isabella Rosa,Romance,2002,A musician and a dancer fall in love during a moonlit performance.
765,La Casa Encantada,Alejandro Oscuro,Horror,2001,A family moves into a haunted house and experiences terrifying events.
766,El Legado Olvidado,Victoria Calle,Historical Fiction,2000,A historian uncovers a forgotten legacy that changes the course of history.
767,El Jardín Encantado,Olivia Azul,Fantasy,1999,A magical garden comes to life leading a young girl on a thrilling adventure.
768,La Revolución Digital,Thomas Gris,Science Fiction,1998,A computer programmer creates an AI that takes over the world.
769,El Punto de Desaparición,Emma Pierre,Mystery,1997,A detective investigates a series of disappearances that seem to be connected.
770,La Cueva Oculta,Ricardo Marrón,Adventure,1996,A group of explorers discovers a hidden cave filled with ancient treasures.
771,El Baile Estrellado,Amelia Rosa,Romance,1995,A couple finds love while dancing under the stars.
772,La Mansión Maldita,Enrique Negro,Horror,1994,A group of friends spends the night in a haunted mansion and faces their darkest fears.
773,El Secreto Antiguo,Clara Blanca,Historical Fiction,1993,An ancient secret is revealed changing the course of history.
774,El Lago Místico,Eleonor Verde,Fantasy,1992,A young girl discovers a mystical lake that grants wishes.
775,El Viaje del Viajero del Tiempo,Benjamín Gris,Science Fiction,1991,A time traveler embarks on a journey through time to change the past.
776,El Observador Silencioso,Sofía Piedra,Mystery,1990,A detective solves a murder case with the help of a silent observer.
777,La Ciudad Perdida,Samuel Marrón,Adventure,1989,A group of explorers discovers a lost city hidden deep within the jungle.
778,La Melodía Lunar,Isabella Rosa,Romance,1988,A musician and a dancer fall in love during a moonlit performance.
779,La Villa Encantada,Alejandro Oscuro,Horror,1987,A family moves into a haunted villa and experiences terrifying events.
780,El Legado Olvidado,Victoria Calle,Historical Fiction,1986,A historian uncovers a forgotten legacy that changes the course of history.
781,El Prado Encantado,Olivia Azul,Fantasy,1985,A magical meadow comes to life leading a young girl on a thrilling adventure.
782,La Era Digital,Thomas Gris,Science Fiction,1984,A computer programmer creates an AI that takes over the world.
783,El Rastro de Desaparición,Emma Pierre,Mystery,1983,A detective investigates a series of disappearances that seem to be connected.
784,El Templo Oculto,Ricardo Marrón,Adventure,1982,A group of explorers discovers a hidden temple filled with ancient treasures.
785,El Abrazo Estrellado,Amelia Rosa,Romance,1981,A couple finds love while embracing under the stars.
786,La Residencia Maldita,Enrique Negro,Horror,1980,A group of friends spends the night in a haunted residence and faces their darkest fears.
787,El Enigma Antiguo,Clara Blanca,Historical Fiction,1979,An ancient enigma is revealed changing the course of history.
788,El Río Místico,Eleonor Verde,Fantasy,1978,A young girl discovers a mystical river that grants wishes.
789,La Odisea del Viajero del Tiempo,Benjamín Gris,Science Fiction,1977,A time traveler embarks on an odyssey through time to change the past.
790,El Guardián Silencioso,Sofía Piedra,Mystery,1976,A detective solves a murder case with the help of a silent guardian.
811,The Haunted Lighthouse,Samantha Green,Horror,2004,A lighthouse keeper discovers that his lighthouse is haunted by the ghosts of shipwrecked sailors.
812,L'Ombra del Passato,Thomas White,Mystery,2003,Un detective deve risolvere un caso di omicidio che ha legami con un oscuro passato.
813,La Magia del Bosque,Ursula Brown,Fantasy,2002,Un bosque encantado es el escenario de una aventura mágica para un grupo de niños.
814,Der Schatz der Piraten,Victor Davis,Adventure,2001,Un grupo de piratas busca un tesoro escondido en una isla misteriosa.
815,El Amor Prohibido,Wendy Evans,Romance,2000,Un amor prohibido entre dos personas de diferentes mundos debe superar muchos obstáculos.
816,The Lost City,Xavier Green,Adventure,1999,A group of adventurers search for a lost city hidden deep in the jungle.
817,Il Mistero del Manoscritto,Yvonne White,Mystery,1998,Un manoscritto antico contiene un mistero che deve essere risolto da un gruppo di studiosi.
818,La Canción del Mar,Zachary Brown,Fantasy,1997,Una canción mágica del mar tiene el poder de curar y proteger a quienes la escuchan.
819,Der Geist des Waldes,Aaron Davis,Horror,1996,Un espíritu del bosque aterroriza a un grupo de excursionistas perdidos.
820,L'Amour Impossible,Bella Evans,Romance,1995,Un amour impossible entre deux personnes de mondes différents doit surmonter de nombreux obstacles.
821,The Enchanted Garden,Carla Green,Fantasy,1994,A magical garden holds secrets and wonders for those who enter it.
822,Il Segreto della Torre,Derek White,Mystery,1993,Una torre antica nasconde un segreto che deve essere svelato da un gruppo di amici.
823,La Aventura del Tiempo,Eleanor Brown,Science Fiction,1992,Una aventura a través del tiempo lleva a un grupo de amigos a diferentes épocas históricas.
824,Der Fluch des Drachen,Finn Davis,Fantasy,1991,Un dragón maldito debe ser derrotado por un grupo de valientes guerreros.
825,L'Ombre du Château,Gina Evans,Horror,1990,Un château hanté est le théâtre de phénomènes étranges et terrifiants.
826,The Hidden Village,Hannah Green,Adventure,1989,A group of travelers discover a hidden village with ancient customs and traditions.
827,Il Mistero del Tesoro,Ian White,Mystery,1988,Un tesoro perduto deve essere trovato da un gruppo di avventurieri coraggiosi.
828,La Melodía del Viento,Jasmine Brown,Fantasy,1987,Una melodía mágica del viento tiene el poder de cambiar el destino de quienes la escuchan.
829,Der Geist des Meeres,Kevin Davis,Horror,1986,Un espíritu del mar aterroriza a un grupo de marineros en alta mar.
830,L'Amour Éternel,Lila Evans,Romance,1985,Un amour éternel naît entre deux personnes destinées à être ensemble pour toujours.
831,The Forgotten Kingdom,Mia Green,Fantasy,1984,A forgotten kingdom holds ancient secrets and magical treasures.
832,Il Segreto del Lago,Nick White,Mystery,1983,Un lago misterioso nasconde un segreto che deve essere svelato da un gruppo di investigatori.
833,La Aventura del Desierto,Olivia Brown,Adventure,1982,Una aventura en el desierto lleva a un grupo de exploradores a descubrir antiguas ruinas.
834,Der Fluch des Hexenmeisters,Peter Davis,Fantasy,1981,Un hechicero maldito debe ser derrotado por un grupo de valientes aventureros.
835,L'Ombre du Manoir,Quinn Evans,Horror,1980,Un manoir hanté est le théâtre de phénomènes étranges et terrifiants.
836,The Hidden Sanctuary,Rachel Green,Adventure,1979,A group of adventurers discover a hidden sanctuary with ancient artifacts.
837,Il Mistero del Castello,Sam White,Mystery,1978,Un castello antico nasconde un segreto che deve essere svelato da un gruppo di studiosi.
838,La Melodía del Bosque,Sara Brown,Fantasy,1977,Una melodía mágica del bosque tiene el poder de curar y proteger a quienes la escuchan.
839,Der Geist des Waldes,Toby Davis,Horror,1976,Un espíritu del bosque aterroriza a un grupo de excursionistas perdidos.
840,L'Amour Impossible,Uma Evans,Romance,1975,Un amour impossible entre deux personnes de mondes différents doit surmonter de nombreux obstacles.
841,The Enchanted Forest,Vera Green,Fantasy,1974,A magical forest holds secrets and wonders for those who enter it.
842,Il Segreto della Torre,Walter White,Mystery,1973,Una torre antica nasconde un segreto che deve essere svelato da un gruppo di amici.
843,La Aventura del Tiempo,Xander Brown,Science Fiction,1972,Una aventura a través del tiempo lleva a un grupo de amigos a diferentes épocas históricas.
844,Der Fluch des Drachen,Yara Davis,Fantasy,1971,Un dragón maldito debe ser derrotado por un grupo de valientes guerreros.
845,L'Ombre du Château,Zara Evans,Horror,1970,Un château hanté est le théâtre de phénomènes étranges et terrifiants.
846,The Hidden Village,Aiden Green,Adventure,1969,A group of travelers discover a hidden village with ancient customs and traditions.
847,Il Mistero del Tesoro,Bella White,Mystery,1968,Un tesoro perduto deve essere trovato da un gruppo di avventurieri coraggiosi.
848,La Melodía del Viento,Carl Brown,Fantasy,1967,Una melodía mágica del viento tiene el poder de cambiar el destino de quienes la escuchan.
849,Der Geist des Meeres,Dana Davis,Horror,1966,Un espíritu del mar aterroriza a un grupo de marineros en alta mar.
850,L'Amour Éternel,Ella Evans,Romance,1965,Un amour éternel naît entre deux personnes destinées à être ensemble pour toujours.
851,The Forgotten Kingdom,Finn Green,Fantasy,1964,A forgotten kingdom holds ancient secrets and magical treasures.
852,Il Segreto del Lago,Gina White,Mystery,1963,Un lago misterioso nasconde un segreto che deve essere svelato da un gruppo di investigatori.
853,La Aventura del Desierto,Hannah Brown,Adventure,1962,Una aventura en el desierto lleva a un grupo de exploradores a descubrir antiguas ruinas.
854,Der Fluch des Hexenmeisters,Ian Davis,Fantasy,1961,Un hechicero maldito debe ser derrotado por un grupo de valientes aventureros.
855,L'Ombre du Manoir,Jasmine Evans,Horror,1960,Un manoir hanté est le théâtre de phénomènes étranges et terrifiants.
856,The Hidden Sanctuary,Kevin Green,Adventure,1959,A group of adventurers discover a hidden sanctuary with ancient artifacts.
857,Il Mistero del Castello,Lila White,Mystery,1958,Un castello antico nasconde un segreto che deve essere svelato da un gruppo di studiosi.
858,La Melodía del Bosque,Mia Brown,Fantasy,1957,Una melodía mágica del bosque tiene el poder de curar y proteger a quienes la escuchan.
859,Der Geist des Waldes,Nick Davis,Horror,1956,Un espíritu del bosque aterroriza a un grupo de excursionistas perdidos.
860,L'Amour Impossible,Olivia Evans,Romance,1955,Un amour impossible entre deux personnes de mondes différents doit surmonter de nombreux obstacles.
861,The Enchanted Forest,Peter Green,Fantasy,1954,A magical forest holds secrets and wonders for those who enter it.
862,Il Segreto della Torre,Quinn White,Mystery,1953,Una torre antica nasconde un segreto che deve essere svelato da un gruppo di amici.
863,La Aventura del Tiempo,Rachel Brown,Science Fiction,1952,Una aventura a través del tiempo lleva a un grupo de amigos a diferentes épocas históricas.
864,Der Fluch des Drachen,Sam Davis,Fantasy,1951,Un dragón maldito debe ser derrotado por un grupo de valientes guerreros.
865,L'Ombre du Château,Sara Evans,Horror,1950,Un château hanté est le théâtre de phénomènes étranges et terrifiants.
866,The Hidden Village,Toby Green,Adventure,1949,A group of travelers discover a hidden village with ancient customs and traditions.
867,Il Mistero del Tesoro,Uma White,Mystery,1948,Un tesoro perduto deve essere trovato da un gruppo di avventurieri coraggiosi.
868,La Melodía del Viento,Vera Brown,Fantasy,1947,Una melodía mágica del viento tiene el poder de cambiar el destino de quienes la escuchan.
869,Der Geist des Meeres,Walter Davis,Horror,1946,Un espíritu del mar aterroriza a un grupo de marineros en alta mar.
870,L'Amour Éternel,Xander Evans,Romance,1945,Un amour éternel naît entre deux personnes destinées à être ensemble pour toujours.
871,The Forgotten Kingdom,Yara Green,Fantasy,1944,A forgotten kingdom holds ancient secrets and magical treasures.
872,Il Segreto del Lago,Zara White,Mystery,1943,Un lago misterioso nasconde un segreto che deve essere svelato da un gruppo di investigatori.
873,La Aventura del Desierto,Aiden Brown,Adventure,1942,Una aventura en el desierto lleva a un grupo de exploradores a descubrir antiguas ruinas.
874,Der Fluch des Hexenmeisters,Bella Davis,Fantasy,1941,Un hechicero maldito debe ser derrotado por un grupo de valientes aventureros.
875,L'Ombre du Manoir,Carl Evans,Horror,1940,Un manoir hanté est le théâtre de phénomènes étranges et terrifiants.
876,The Hidden Sanctuary,Dana Green,Adventure,1939,A group of adventurers discover a hidden sanctuary with ancient artifacts.
877,Il Mistero del Castello,Ella White,Mystery,1938,Un castello antico nasconde un segreto che deve essere svelato da un gruppo di studiosi.
878,La Melodía del Bosque,Finn Brown,Fantasy,1937,Una melodía mágica del bosque tiene el poder de curar y proteger a quienes la escuchan.
879,Der Geist des Waldes,Gina Davis,Horror,1936,Un espíritu del bosque aterroriza a un grupo de excursionistas perdidos.
880,L'Amour Impossible,Hannah Evans,Romance,1935,Un amour impossible entre deux personnes de mondes différents doit surmonter de nombreux obstacles.
881,The Enchanted Forest,Ian Green,Fantasy,1934,A magical forest holds secrets and wonders for those who enter it.
882,Il Segreto della Torre,Jasmine White,Mystery,1933,Una torre antica nasconde un segreto che deve essere svelato da un gruppo di amici.
883,La Aventura del Tiempo,Kevin Brown,Science Fiction,1932,Una aventura a través del tiempo lleva a un grupo de amigos a diferentes épocas históricas.
884,Der Fluch des Drachen,Lila Davis,Fantasy,1931,Un dragón maldito debe ser derrotado por un grupo de valientes guerreros.
885,L'Ombre du Château,Mia Evans,Horror,1930,Un château hanté est le théâtre de phénomènes étranges et terrifiants.
886,The Hidden Village,Nick Green,Adventure,1929,A group of travelers discover a hidden village with ancient customs and traditions.
887,Il Mistero del Tesoro,Olivia White,Mystery,1928,Un tesoro perduto deve essere trovato da un gruppo di avventurieri coraggiosi.
888,La Melodía del Viento,Peter Brown,Fantasy,1927,Una melodía mágica del viento tiene el poder de cambiar el destino de quienes la escuchan.
889,Der Geist des Meeres,Quinn Davis,Horror,1926,Un espíritu del mar aterroriza a un grupo de marineros en alta mar.
890,L'Amour Éternel,Rachel Evans,Romance,1925,Un amour éternel naît entre deux personnes destinées à être ensemble pour toujours.
900,Le Rêve de l'Artiste,Pierre Leclerc,French,Romance,Un jeune artiste trouve l'inspiration dans une mystérieuse muse qui apparaît dans ses rêves.
901,The Echo of Silence,David Brown,English,Thriller,A journalist uncovers a conspiracy that threatens to silence the truth forever.
902,Il Giardino Segreto,Sara Verdi,Italian,Adventure,Una giovane esploratrice scopre un giardino segreto pieno di meraviglie e pericoli.
903,Die Schatten der Vergangenheit,Klaus Fischer,German,Historical,Ein Historiker entdeckt die dunklen Geheimnisse einer alten Familie.
904,El Canto de la Luna,Rosa López,Spanish,Fantasy,Una joven princesa debe usar su voz mágica para salvar su reino de una maldición.
905,Le Mystère de la Bibliothèque,Jean Martin,French,Mystery,Un bibliothécaire découvre un ancien manuscrit qui révèle un secret mortel.
906,The Forgotten Island,Linda Wilson,English,Adventure,A group of explorers discover a forgotten island filled with ancient treasures and dangerous creatures.
907,Il Sogno di un Violinista,Franco Neri,Italian,Romance,Un giovane violinista trova l'amore in una misteriosa melodia che suona nel cuore della notte.
908,Die Reise ins Unbekannte,Eva Krause,German,Science Fiction,Ein Team von Astronauten esplora un nuovo pianeta pieno di misteri e pericoli.
909,El Secreto del Bosque,Miguel Sánchez,Spanish,Mystery,Un detective investiga una serie de misteriosas desapariciones en un antiguo bosque.
910,Le Voyage de l'Espoir,Claire Dubois,French,Adventure,Une jeune aventurière part à la recherche d'un trésor perdu qui pourrait changer le destin de son village.
964,Las Llamas Congeladas,Isabella Rodríguez,Spanish,Mystery,Un científico debe encontrar una manera de derretir las llamas congeladas para salvar a su pueblo del frío eterno en un mundo donde el fuego está congelado.
965,Les Flammes Gelées,Sophie Martin,French,Romance,Un scientifique doit trouver un moyen de faire fondre les flammes gelées pour sauver son peuple du froid éternel dans un monde où le feu est gelé.
966,The Shadow Weaver,Mia Thompson,English,Fantasy,"In a land where shadows can be woven into tapestries, a young weaver must create a tapestry powerful enough to defeat a dark lord."
967,Il Tessitore delle Ombre,Luca Bianchi,Italian,Adventure,Un giovane tessitore deve creare un arazzo abbastanza potente da sconfiggere un signore oscuro in una terra dove le ombre possono essere intrecciate in arazzi.
968,Der Schattenweber,Eva Müller,German,Mystery,"Ein junger Weber muss einen Wandteppich erschaffen, der mächtig genug ist, um einen dunklen Herrscher zu besiegen, in einem Land, in dem Schatten zu Wandteppichen gewebt werden können."
969,El Tejedor de Sombras,Carlos López,Spanish,Romance,Un joven tejedor debe crear un tapiz lo suficientemente poderoso como para derrotar a un señor oscuro en una tierra donde las sombras pueden tejerse en tapices.
970,Le Tisseur d'Ombres,Marie Dupont,French,Historical,Un jeune tisserand doit créer une tapisserie assez puissante pour vaincre un seigneur des ténèbres dans un pays où les ombres peuvent être tissées en tapisseries.
971,The Dream Catcher,Nora Bennett,English,Fantasy,"In a world where dreams are caught in nets, a young dream catcher must capture the nightmares that threaten her village."
972,L'Acchiappasogni,Giovanni Bianchi,Italian,Adventure,Un giovane acchiappasogni deve catturare gli incubi che minacciano il suo villaggio in un mondo dove i sogni sono catturati nelle reti.
973,Der Traumfänger,Klaus Fischer,German,Mystery,"Ein junger Traumfänger muss die Albträume einfangen, die sein Dorf bedrohen, in einer Welt, in der Träume in Netzen gefangen werden."
974,El Atrapasueños,Laura Pérez,Spanish,Romance,Un joven atrapasueños debe capturar las pesadillas que amenazan su aldea en un mundo donde los sueños son atrapados en redes.
975,L'Attrape-Rêves,Pierre Leclerc,French,Historical,Un jeune attrape-rêves doit capturer les cauchemars qui menacent son village dans un monde où les rêves sont capturés dans des filets.
976,The Time Keeper,Ivy Carter,English,Science Fiction,"In a world where time is a physical substance, a young time keeper must protect the time vaults from thieves who seek to steal time itself."
977,Il Custode del Tempo,Giuseppe Verdi,Italian,Adventure,Un giovane custode del tempo deve proteggere le volte del tempo dai ladri che cercano di rubare il tempo stesso in un mondo dove il tempo è una sostanza fisica.
978,Der Zeitwächter,Karl Schneider,German,Fantasy,"Ein junger Zeitwächter muss die Zeitgewölbe vor Dieben schützen, die die Zeit selbst stehlen wollen, in einer Welt, in der die Zeit eine physische Substanz ist."
979,El Guardián del Tiempo,Isabella Rodríguez,Spanish,Mystery,Un joven guardián del tiempo debe proteger las bóvedas del tiempo de los ladrones que buscan robar el tiempo mismo en un mundo donde el tiempo es una sustancia física.
980,Le Gardien du Temps,Sophie Martin,French,Romance,Un jeune gardien du temps doit protéger les voûtes du temps des voleurs qui cherchent à voler le temps lui-même dans un monde où le temps est une substance physique.
981,The Star Weaver,Stella Morris,English,Fantasy,"In a galaxy where stars are woven into constellations, a young weaver must create a constellation powerful enough to guide her people home."
982,Il Tessitore di Stelle,Luca Bianchi,Italian,Adventure,Un giovane tessitore deve creare una costellazione abbastanza potente da guidare il suo popolo a casa in una galassia dove le stelle sono intrecciate in costellazioni.
983,Der Sternenweber,Eva Müller,German,Mystery,"Ein junger Weber muss eine Sternenkonstellation erschaffen, die mächtig genug ist, um sein Volk nach Hause zu führen, in einer Galaxie, in der Sterne zu Konstellationen gewebt werden."
984,El Tejedor de Estrellas,Carlos López,Spanish,Romance,Un joven tejedor debe crear una constelación lo suficientemente poderosa como para guiar a su pueblo a casa en una galaxia donde las estrellas se tejen en constelaciones.
985,Le Tisseur d'Étoiles,Marie Dupont,French,Historical,Un jeune tisserand doit créer une constellation assez puissante pour guider son peuple vers sa maison dans une galaxie où les étoiles sont tissées en constellations.
986,The Memory Keeper,Hazel Davis,English,Science Fiction,"In a future where memories are stored in crystals, a young memory keeper must protect the memory vaults from those who seek to manipulate the past."
987,Il Custode dei Ricordi,Giovanni Bianchi,Italian,Adventure,Un giovane custode dei ricordi deve proteggere le volte dei ricordi da coloro che cercano di manipolare il passato in un futuro dove i ricordi sono conservati nei cristalli.
988,Der Hüter der Erinnerungen,Klaus Fischer,German,Fantasy,"Ein junger Hüter der Erinnerungen muss die Erinnerungsgewölbe vor denen schützen, die die Vergangenheit manipulieren wollen, in einer Zukunft, in der Erinnerungen in Kristallen gespeichert werden."
989,El Guardián de los Recuerdos,Laura Pérez,Spanish,Mystery,Un joven guardián de los recuerdos debe proteger las bóvedas de los recuerdos de aquellos que buscan manipular el pasado en un futuro donde los recuerdos se almacenan en cristales.
990,Le Gardien des Souvenirs,Pierre Leclerc,French,Romance,Un jeune gardien des souvenirs doit protéger les voûtes des souvenirs de ceux qui cherchent à manipuler le passé dans un avenir où les souvenirs sont stockés dans des cristaux.
991,The Rainbow Bridge,Luna Walker,English,Fantasy,"In a world where rainbows are bridges to other realms, a young adventurer must cross the rainbow bridge to find a lost treasure."
992,Il Ponte Arcobaleno,Sara Verdi,Italian,Adventure,Un giovane avventuriero deve attraversare il ponte arcobaleno per trovare un tesoro perduto in un mondo dove gli arcobaleni sono ponti verso altri regni.
993,Die Regenbogenbrücke,Eva Müller,German,Mystery,"Ein junger Abenteurer muss die Regenbogenbrücke überqueren, um einen verlorenen Schatz in einer Welt zu finden, in der Regenbogen Brücken zu anderen Reichen sind."
994,El Puente Arcoíris,Rosa López,Spanish,Romance,Un joven aventurero debe cruzar el puente arcoíris para encontrar un tesoro perdido en un mundo donde los arcoíris son puentes hacia otros reinos.
995,Le Pont Arc-en-Ciel,Marie Dupont,French,Historical,Un jeune aventurier doit traverser le pont arc-en-ciel pour trouver un trésor perdu dans un monde où les arcs-en-ciel sont des ponts vers d'autres royaumes.
996,The Whispering Stars,Aria Clark,English,Fantasy,"In a galaxy where stars whisper ancient secrets, a young astronomer must decipher their messages to save her planet from a cosmic threat."
997,Le Stelle Sussurranti,Giuseppe Verdi,Italian,Adventure,Un giovane astronomo deve decifrare i messaggi delle stelle che sussurrano antichi segreti per salvare il suo pianeta da una minaccia cosmica in una galassia dove le stelle sussurrano.
998,Die Flüsternden Sterne,Karl Schneider,German,Mystery,"Ein junger Astronom muss die Botschaften der flüsternden Sterne entschlüsseln, um seinen Planeten vor einer kosmischen Bedrohung zu retten, in einer Galaxie, in der die Sterne flüstern."
999,Las Estrellas Susurrantes,Isabella Rodríguez,Spanish,Romance,Un joven astrónomo debe descifrar los mensajes de las estrellas que susurran antiguos secretos para salvar su planeta de una amenaza cósmica en una galaxia donde las estrellas susurran.
1000,Les Étoiles Chuchotantes,Sophie Martin,French,Historical,Un jeune astronome doit déchiffrer les messages des étoiles qui chuchotent des secrets anciens pour sauver sa planète d'une menace cosmique dans une galaxie où les étoiles chuchotent.
1001,The Eternal Garden,Daisy Turner,English,Fantasy,"In a garden where flowers never wilt, a young gardener must uncover the secret of eternal bloom to save her world from a withering curse."
1002,Il Giardino Eterno,Giovanni Bianchi,Italian,Adventure,Un giovane giardiniere deve scoprire il segreto della fioritura eterna per salvare il suo mondo da una maledizione appassita in un giardino dove i fiori non appassiscono mai.
1003,Der Ewige Garten,Klaus Fischer,German,Mystery,"Ein junger Gärtner muss das Geheimnis der ewigen Blüte lüften, um seine Welt vor einem welkenden Fluch zu retten, in einem Garten, in dem die Blumen niemals welken."
1004,El Jardín Eterno,Laura Pérez,Spanish,Romance,Un joven jardinero debe descubrir el secreto de la floración eterna para salvar su mundo de una maldición marchita en un jardín donde las flores nunca se marchitan.
1005,Le Jardin Éternel,Pierre Leclerc,French,Historical,Un jeune jardinier doit découvrir le secret de la floraison éternelle pour sauver son monde d'une malédiction flétrie dans un jardin où les fleurs ne flétrissent jamais.
1006,The Crystal Sea,Coral Hughes,English,Science Fiction,"In a world where the sea is made of crystal, a young sailor must navigate the crystal waters to find a lost civilization."
1007,Il Mare di Cristallo,Giuseppe Verdi,Italian,Adventure,Un giovane marinaio deve navigare le acque di cristallo per trovare una civiltà perduta in un mondo dove il mare è fatto di cristallo.
1008,Das Kristallmeer,Karl Schneider,German,Fantasy,"Ein junger Seefahrer muss die Kristallgewässer navigieren, um eine verlorene Zivilisation in einer Welt zu finden, in der das Meer aus Kristall besteht."
1009,El Mar de Cristal,Isabella Rodríguez,Spanish,Mystery,Un joven marinero debe navegar las aguas de cristal para encontrar una civilización perdida en un mundo donde el mar está hecho de cristal.
1010,La Mer de Cristal,Sophie Martin,French,Romance,Un jeune marin doit naviguer les eaux de cristal pour trouver une civilisation perdue dans un monde où la mer est faite de cristal.
1011,The Shadow Realm,Ella Thompson,English,Fantasy,"In a realm where shadows come to life, a young warrior must battle the shadow creatures to save her kingdom from darkness."
